"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"07/30/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"07/31/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/01/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/02/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/03/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/04/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/05/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/06/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/07/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/08/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/09/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/10/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/11/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/12/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/13/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/14/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/15/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/16/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/17/2023","AQS","160010010","1","0.4","ppm","5","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/18/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/19/2023","AQS","160010010","1","0.4","ppm","5","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/20/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/21/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/22/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/23/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/24/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/25/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/26/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/27/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/28/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/29/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/30/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"08/31/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/01/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/02/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/03/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/04/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/05/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/06/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/07/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/08/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","17","71.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/09/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/10/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/11/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/12/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/13/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/14/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/15/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/16/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/17/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/18/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/19/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/20/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/21/2023","AQS","160010010","1","0.3","ppm","3","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/22/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/23/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"09/24/2023","AQS","160010010","1","0.2","ppm","2","Meridian - St. Luke's","24","100.0000","42101","Carbon monoxide","593","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
