,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
AK-500,988,912,648,65.59%,606,382,0,86,330,658,0,606,554,424,69.97%,0,122,38,156,450,0,382,358,224,58.64%,48,174,208,0,0,0,0,.,0,0,0,0,139,139,139,100.00%,27,105,34,0,139,139,139,100.00%,27,105,34,0,0,0,0,.,0,0,0,0,505,505,505,100.00%,41,126,379,0,0,0,0,.,0,0,0,0
AK-501,826,470,383,46.37%,583,243,0,100,316,459,51,583,277,226,38.77%,20,0,79,245,316,22,243,193,157,64.61%,21,71,143,29,0,0,0,.,0,0,0,0,19,19,19,100.00%,3,18,1,0,19,19,19,100.00%,3,18,1,0,0,0,0,.,0,0,0,0,210,210,210,100.00%,14,41,169,0,0,0,0,.,0,0,0,0
AL-500,1065,978,823,77.28%,400,631,34,127,409,638,18,400,341,331,82.75%,0,55,27,82,300,18,631,603,458,72.58%,100,327,304,0,34,34,34,100.00%,0,0,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1729,1729,1083,62.64%,298,965,764,0,0,0,0,.,0,0,0,0
AL-501,537,456,348,64.80%,344,193,0,75,213,324,0,344,296,268,77.91%,0,60,42,122,222,0,193,160,80,41.45%,33,91,102,0,0,0,0,.,0,0,0,0,10,10,0,0.00%,0,0,10,0,10,10,0,0.00%,0,0,10,0,0,0,0,.,0,0,0,0,199,199,199,100.00%,21,39,160,0,0,0,0,.,0,0,0,0
AL-502,266,188,34,12.78%,82,184,0,42,143,123,0,82,82,34,41.46%,10,0,14,48,34,0,184,106,0,0.00%,28,95,89,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,50,50,0,0.00%,0,0,50,0,0,0,0,.,0,0,0,0
AL-503,534,484,157,29.40%,445,89,0,50,161,370,3,445,395,85,19.10%,0,54,20,91,354,0,89,89,72,80.90%,30,70,16,3,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,211,211,84,39.81%,33,44,167,0,0,0,0,.,0,0,0,0
AL-504,463,403,403,87.04%,120,343,0,58,152,311,0,120,114,114,95.00%,0,0,8,18,102,0,343,289,289,84.26%,50,134,209,0,0,0,0,.,0,0,0,0,43,43,43,100.00%,11,39,4,0,43,43,43,100.00%,11,39,4,0,0,0,0,.,0,0,0,0,429,429,222,51.75%,46,133,296,0,0,0,0,.,0,0,0,0
AL-505,150,122,122,81.33%,122,28,0,60,60,75,15,122,102,102,83.61%,0,260,52,52,66,4,28,20,20,71.43%,8,8,9,11,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,12,12,12,100.00%,12,12,0,0,0,0,0,.,0,0,0,0
AL-506,155,139,62,40.00%,16,139,0,15,54,101,0,16,0,0,0.00%,0,0,5,6,10,0,139,139,62,44.60%,10,48,91,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,188,188,175,93.09%,5,5,183,0,0,0,0,.,0,0,0,0
AL-507,554,442,36,6.50%,309,245,0,50,202,352,0,309,197,31,10.03%,0,1,34,121,188,0,245,245,5,2.04%,16,81,164,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,73,73,0,0.00%,2,8,65,0,0,0,0,.,0,0,0,0
AR-500,791,635,395,49.94%,404,387,0,59,205,586,0,404,348,167,41.34%,0,120,24,88,316,0,387,287,228,58.91%,35,117,270,0,0,0,0,.,0,0,0,0,83,83,83,100.00%,10,38,45,0,83,83,83,100.00%,10,38,45,0,0,0,0,.,0,0,0,0,765,765,561,73.33%,113,309,456,0,22,16,16,72.73%,2,9,13,0
AR-501,401,329,235,58.60%,230,171,0,38,134,249,18,230,158,122,53.04%,0,151,13,43,187,0,171,171,113,66.08%,25,91,62,18,0,0,0,.,0,0,0,0,74,74,74,100.00%,27,55,19,0,74,74,74,100.00%,27,55,19,0,0,0,0,.,0,0,0,0,98,98,13,13.27%,0,0,98,0,0,0,0,.,0,0,0,0
AR-503,593,493,299,50.42%,517,76,0,40,224,369,0,517,417,255,49.32%,0,31,35,209,308,0,76,76,44,57.89%,5,15,61,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,44,44,39,88.64%,5,18,26,0,0,0,0,.,0,0,0,0
AR-505,206,98,15,7.28%,182,24,0,34,89,102,15,182,86,15,8.24%,0,0,24,77,90,15,24,12,0,0,10,12,12,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,0,0,4,4,12,0,0,0,0,.,0,0,0,0
AR-508,132,132,0,0,105,27,0,2,16,116,0,105,105,0,0,0,0,1,10,95,0,27,27,0,0,1,6,21,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-512,28,0,0,0.00%,28,0,0,6,22,6,0,28,0,0,0.00%,0,6,6,22,6,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AZ-500,1442,920,696,48.27%,1055,387,0,183,916,505,21,1055,577,383,36.30%,142,79,113,659,380,16,387,343,313,80.88%,70,257,125,5,0,0,0,.,0,0,0,0,34,34,33,97.06%,12,31,3,0,34,34,33,97.06%,12,31,3,0,0,0,0,.,0,0,0,0,823,823,495,60.15%,145,363,460,0,47,47,24,51.06%,5,7,40,0
AZ-501,1847,1768,1742,94.32%,704,1128,15,264,811,1028,8,704,653,627,89.06%,87,43,102,295,409,0,1128,1100,1100,97.52%,162,516,604,8,15,15,15,100.00%,0,0,15,0,407,311,311,76.41%,105,308,99,0,407,311,311,76.41%,105,308,99,0,0,0,0,.,0,0,0,0,1080,1080,1080,100.00%,144,431,649,0,637,637,0,0.00%,91,273,364,0
AZ-502,5584,4723,3625,64.92%,2722,2837,25,971,3118,2450,16,2722,2075,1759,64.62%,0,312,421,1268,1442,12,2837,2623,1841,64.89%,550,1850,983,4,25,25,25,100.00%,0,0,25,0,116,116,116,100.00%,45,116,0,0,0,0,0,.,0,0,0,0,116,116,116,100.00%,45,116,0,0,5455,5455,3993,73.20%,547,2000,3455,0,23,23,23,100.00%,3,12,11,0
CA-500,1744,1673,1487,85.26%,593,1141,10,309,876,846,22,593,522,476,80.27%,336,5,111,257,314,22,1141,1141,1001,87.73%,198,619,522,0,10,10,10,100.00%,0,0,10,0,194,194,94,48.45%,135,176,18,0,194,194,94,48.45%,135,176,18,0,0,0,0,.,0,0,0,0,3683,3505,1735,47.11%,470,1602,2081,0,0,0,0,.,0,0,0,0
CA-501,2286,2183,1947,85.17%,1657,575,54,244,688,1578,20,1657,1580,1443,87.09%,60,0,137,391,1246,20,575,549,450,78.26%,107,297,278,0,54,54,54,100.00%,0,0,54,0,626,626,377,60.22%,203,626,0,0,526,526,323,61.41%,170,526,0,0,100,100,54,54.00%,33,100,0,0,6843,6843,6536,95.51%,565,1631,5212,0,0,0,0,.,0,0,0,0
CA-502,2010,1771,1324,65.87%,859,1151,0,326,1078,924,8,859,665,453,52.74%,169,15,91,401,450,8,1151,1106,871,75.67%,235,677,474,0,0,0,0,.,0,0,0,0,35,35,35,100.00%,4,11,24,0,35,35,35,100.00%,4,11,24,0,0,0,0,.,0,0,0,0,2502,2502,1802,72.02%,337,972,1530,0,0,0,0,.,0,0,0,0
CA-503,1557,1467,1137,73.03%,621,936,0,222,711,836,10,621,531,424,68.28%,218,43,74,300,311,10,936,936,713,76.18%,148,411,525,0,0,0,0,.,0,0,0,0,114,114,114,100.00%,18,71,43,0,114,114,114,100.00%,18,71,43,0,0,0,0,.,0,0,0,0,2610,2610,2110,80.84%,370,1165,1445,0,0,0,0,.,0,0,0,0
CA-504,975,938,732,75.08%,557,418,0,104,425,544,6,557,530,494,88.69%,93,10,43,196,355,6,418,408,238,56.94%,61,229,189,0,0,0,0,.,0,0,0,0,106,106,82,77.36%,33,104,2,0,106,106,82,77.36%,33,104,2,0,0,0,0,.,0,0,0,0,804,756,422,52.49%,89,346,458,0,103,103,103,100.00%,16,61,42,0
CA-505,663,617,550,82.96%,388,275,0,92,318,339,6,388,364,301,77.58%,40,20,27,106,276,6,275,253,249,90.55%,65,212,63,0,0,0,0,.,0,0,0,0,113,113,113,100.00%,18,54,59,0,96,96,96,100.00%,12,37,59,0,17,17,17,100.00%,6,17,0,0,954,954,783,82.08%,169,426,528,0,8,8,8,100.00%,0,0,8,0
CA-506,872,797,651,74.66%,322,550,0,115,482,390,0,322,247,101,31.37%,109,21,18,95,227,0,550,550,550,100.00%,97,387,163,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,261,261,122,46.74%,103,169,92,0,0,0,0,.,0,0,0,0
CA-507,479,384,365,76.20%,163,316,0,66,221,258,0,163,163,163,100.00%,60,0,7,28,135,0,316,221,202,63.92%,59,193,123,0,0,0,0,.,0,0,0,0,30,30,30,100.00%,3,10,20,0,30,30,30,100.00%,3,10,20,0,0,0,0,.,0,0,0,0,491,491,489,99.59%,21,69,422,0,0,0,0,.,0,0,0,0
CA-508,642,624,508,79.13%,353,289,0,133,387,255,0,353,335,302,85.55%,128,0,52,165,188,0,289,289,206,71.28%,81,222,67,0,0,0,0,.,0,0,0,0,65,65,47,72.31%,10,29,36,0,65,65,47,72.31%,10,29,36,0,0,0,0,.,0,0,0,0,341,341,126,36.95%,19,55,286,0,0,0,0,.,0,0,0,0
CA-509,190,168,113,59.47%,103,87,0,12,44,145,1,103,89,89,86.41%,20,22,2,12,90,1,87,79,24,27.59%,10,32,55,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,441,441,244,55.33%,120,280,161,0,0,0,0,.,0,0,0,0
CA-510,609,583,528,86.70%,330,279,0,31,223,324,62,330,306,284,86.06%,203,0,15,140,128,62,279,277,244,87.46%,16,83,196,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,391,391,387,98.98%,54,156,235,0,0,0,0,.,0,0,0,0
CA-511,1543,1506,1389,90.02%,850,693,0,268,962,578,3,850,813,740,87.06%,68,16,111,390,457,3,693,693,649,93.65%,157,572,121,0,0,0,0,.,0,0,0,0,6,6,6,100.00%,0,0,6,0,6,6,6,100.00%,0,0,6,0,0,0,0,.,0,0,0,0,561,561,419,74.69%,55,174,387,0,20,20,20,100.00%,0,0,20,0
CA-512,858,802,710,82.75%,304,554,0,97,513,339,6,304,282,210,69.08%,0,9,30,112,186,6,554,520,500,90.25%,67,401,153,0,0,0,0,.,0,0,0,0,24,24,24,100.00%,3,14,10,0,24,24,24,100.00%,3,14,10,0,0,0,0,.,0,0,0,0,663,663,512,77.22%,53,167,495,1,0,0,0,.,0,0,0,0
CA-513,557,455,380,68.22%,235,322,0,58,219,338,0,235,189,155,65.96%,0,0,29,119,116,0,322,266,225,69.88%,29,100,222,0,0,0,0,.,0,0,0,0,15,15,15,100.00%,5,15,0,0,15,15,15,100.00%,5,15,0,0,0,0,0,.,0,0,0,0,224,224,182,81.25%,43,124,100,0,0,0,0,.,0,0,0,0
CA-514,924,754,509,55.09%,435,465,24,146,506,406,12,435,324,127,29.20%,0,0,64,213,210,12,465,406,358,76.99%,82,293,172,0,24,24,24,100.00%,0,0,24,0,53,53,53,100.00%,7,25,28,0,53,53,53,100.00%,7,25,28,0,0,0,0,.,0,0,0,0,884,884,511,57.81%,98,332,552,0,0,0,0,.,0,0,0,0
CA-515,408,318,249,61.03%,226,182,0,76,247,161,0,226,161,156,69.03%,0,6,27,93,133,0,182,157,93,51.10%,49,154,28,0,0,0,0,.,0,0,0,0,22,22,22,100.00%,3,8,14,0,22,22,22,100.00%,3,8,14,0,0,0,0,.,0,0,0,0,208,208,168,80.77%,16,50,158,0,0,0,0,.,0,0,0,0
CA-516,585,559,80,13.68%,192,393,0,70,224,361,0,192,166,0,0.00%,0,34,4,66,126,0,393,393,80,20.36%,66,158,235,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,34,34,34,100.00%,0,0,34,0,0,0,0,.,0,0,0,0
CA-517,174,160,137,78.74%,104,70,0,34,100,74,0,104,90,90,86.54%,50,0,11,42,62,0,70,70,47,67.14%,23,58,12,0,0,0,0,.,0,0,0,0,27,27,27,100.00%,2,5,22,0,27,27,27,100.00%,2,5,22,0,0,0,0,.,0,0,0,0,52,52,50,96.15%,1,3,49,0,0,0,0,.,0,0,0,0
CA-518,548,505,308,56.20%,228,320,0,34,286,247,15,228,198,149,65.35%,0,31,12,144,78,6,320,307,159,49.69%,22,142,169,9,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,131,131,56,42.75%,8,33,98,0,0,0,0,.,0,0,0,0
CA-519,319,283,244,76.49%,208,111,0,37,108,211,0,208,180,155,74.52%,10,0,11,34,174,0,111,103,89,80.18%,26,74,37,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,241,241,241,100.00%,44,133,108,0,0,0,0,.,0,0,0,0
CA-520,218,206,86,39.45%,100,118,0,10,30,188,0,100,88,66,66.00%,20,11,2,8,92,0,118,118,20,16.95%,8,22,96,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,71,71,25,35.21%,11,27,44,0,0,0,0,.,0,0,0,0
CA-521,306,271,223,72.88%,99,207,0,39,165,138,3,99,64,64,64.65%,33,1,9,40,56,3,207,207,159,76.81%,30,125,82,0,0,0,0,.,0,0,0,0,48,48,48,100.00%,12,42,6,0,48,48,48,100.00%,12,42,6,0,0,0,0,.,0,0,0,0,82,82,31,37.80%,4,14,68,0,0,0,0,.,0,0,0,0
CA-522,226,226,215,95.13%,44,182,0,41,123,91,12,44,44,44,100.00%,55,0,0,0,39,5,182,182,171,93.96%,41,123,52,7,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,85,85,85,100.00%,8,21,64,0,0,0,0,.,0,0,0,0
CA-523,153,119,56,36.60%,37,116,0,21,112,41,0,37,29,8,21.62%,45,0,7,35,2,0,116,90,48,41.38%,14,77,39,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-524,342,277,0,0.00%,162,180,0,36,153,189,0,162,109,0,0.00%,50,14,12,53,109,0,180,168,0,0.00%,24,100,80,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-525,139,101,101,72.66%,52,87,0,19,73,50,16,52,24,24,46.15%,45,0,5,36,0,16,87,77,77,88.51%,14,37,50,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-526,188,105,84,44.68%,95,93,0,41,136,52,0,95,48,48,50.53%,0,0,19,68,27,0,93,57,36,38.71%,22,68,25,0,0,0,0,.,0,0,0,0,17,17,17,100.00%,3,13,4,0,17,17,17,100.00%,3,13,4,0,0,0,0,.,0,0,0,0,21,21,14,66.67%,1,3,18,0,0,0,0,.,0,0,0,0
CA-600,11846,10417,7456,62.94%,4798,7023,25,1261,3856,7877,113,4798,4363,3027,63.09%,1424,845,474,1330,3375,93,7023,6029,4404,62.71%,787,2526,4477,20,25,25,25,100.00%,0,0,25,0,1663,1603,1552,93.33%,582,1663,0,0,1663,1603,1552,93.33%,582,1663,0,0,0,0,0,.,0,0,0,0,12846,12742,7579,59.00%,1160,2905,9941,0,1903,1903,1239,65.11%,573,1573,330,0
CA-601,4531,3975,3784,83.51%,524,3948,59,511,1945,2540,46,524,356,332,63.36%,609,145,25,166,338,20,3948,3560,3393,85.94%,486,1779,2143,26,59,59,59,100.00%,0,0,59,0,39,39,39,100.00%,4,15,24,0,39,39,39,100.00%,4,15,24,0,0,0,0,.,0,0,0,0,2914,2914,2570,88.19%,283,909,2005,0,382,382,382,100.00%,70,378,4,0
CA-602,2013,1566,1380,68.55%,414,1599,0,458,1382,607,24,414,222,140,33.82%,592,32,63,185,205,24,1599,1344,1240,77.55%,395,1197,402,0,0,0,0,.,0,0,0,0,158,146,76,48.10%,32,119,33,6,158,146,76,48.10%,32,119,33,6,0,0,0,.,0,0,0,0,2062,2062,2062,100.00%,245,808,1254,0,89,89,0,0.00%,22,89,0,0
CA-603,726,638,490,67.49%,408,318,0,74,318,400,8,408,364,244,59.80%,200,12,26,153,247,8,318,274,246,77.36%,48,165,153,0,0,0,0,.,0,0,0,0,59,59,59,100.00%,18,53,6,0,59,59,59,100.00%,18,53,6,0,0,0,0,.,0,0,0,0,510,510,179,35.10%,84,264,246,0,0,0,0,.,0,0,0,0
CA-604,671,577,571,85.10%,436,235,0,46,217,454,0,436,376,376,86.24%,2,25,33,169,267,0,235,201,195,82.98%,13,48,187,0,0,0,0,.,0,0,0,0,104,104,104,100.00%,20,78,26,0,104,104,104,100.00%,20,78,26,0,0,0,0,.,0,0,0,0,1215,1215,1209,99.51%,166,597,618,0,11,11,11,100.00%,3,9,2,0
CA-606,973,842,589,60.53%,328,620,25,88,364,609,0,328,284,113,34.45%,140,0,27,130,198,0,620,533,451,72.74%,61,234,386,0,25,25,25,100.00%,0,0,25,0,75,75,75,100.00%,10,29,46,0,75,75,75,100.00%,10,29,46,0,0,0,0,.,0,0,0,0,971,971,787,81.05%,83,209,762,0,0,0,0,.,0,0,0,0
CA-607,261,225,190,72.80%,130,131,0,40,152,109,0,130,94,90,69.23%,42,0,12,84,46,0,131,131,100,76.34%,28,68,63,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,227,227,214,94.27%,16,50,177,0,0,0,0,.,0,0,0,0
CA-608,1385,1211,1157,83.54%,665,720,0,221,715,633,37,665,545,491,73.83%,72,40,77,236,392,37,720,666,666,92.50%,144,479,241,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,998,998,467,46.79%,134,376,622,0,0,0,0,.,0,0,0,0
CA-609,1110,780,664,59.82%,415,695,0,225,720,378,12,415,248,148,35.66%,75,50,49,184,219,12,695,532,516,74.24%,176,536,159,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,684,684,488,71.35%,82,263,421,0,0,0,0,.,0,0,0,0
CA-611,442,400,229,51.81%,108,324,10,60,283,159,0,108,81,13,12.04%,236,0,9,65,43,0,324,309,206,63.58%,51,218,106,0,10,10,10,100.00%,0,0,10,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,332,332,190,57.23%,11,40,292,0,0,0,0,.,0,0,0,0
CA-612,142,132,132,92.96%,50,92,0,31,130,12,0,50,40,40,80.00%,80,0,2,38,12,0,92,92,92,100.00%,29,92,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,96,96,93,96.88%,6,24,72,0,0,0,0,.,0,0,0,0
CA-613,206,206,206,100.00%,135,71,0,104,151,55,0,135,135,135,100.00%,0,0,80,80,55,0,71,71,71,100.00%,24,71,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-614,214,139,114,53.27%,141,73,0,31,96,118,0,141,102,81,57.45%,16,43,20,60,81,0,73,37,33,45.21%,11,36,37,0,0,0,0,.,0,0,0,0,28,28,0,0,11,25,3,0,28,28,0,0,11,25,3,0,0,0,0,.,0,0,0,0,147,147,32,21.77%,13,15,132,0,0,0,0,.,0,0,0,0
CO-500,1929,1392,817,42.35%,963,966,0,152,1138,751,40,963,666,448,46.52%,270,67,34,537,404,22,966,726,369,38.20%,118,601,347,18,0,0,0,.,0,0,0,0,32,32,32,100.00%,0,0,32,0,32,32,32,100.00%,0,0,32,0,0,0,0,.,0,0,0,0,665,665,245,36.84%,51,103,562,0,10,10,0,0.00%,1,10,0,0
CO-503,5676,5404,4312,75.97%,2492,3159,25,1041,3080,2150,446,2492,2295,1526,61.24%,598,491,304,1055,1191,246,3159,3084,2761,87.40%,737,2025,934,200,25,25,25,100.00%,0,0,25,0,185,185,162,87.57%,20,52,133,0,185,185,162,87.57%,20,52,133,0,0,0,0,.,0,0,0,0,2007,2007,1888,94.07%,245,531,1476,0,0,0,0,.,0,0,0,0
CO-504,861,829,732,85.02%,298,563,0,102,390,471,0,298,266,247,82.89%,42,123,12,73,225,0,563,563,485,86.15%,90,317,246,0,0,0,0,.,0,0,0,0,171,171,171,100.00%,24,82,89,0,171,171,171,100.00%,24,82,89,0,0,0,0,.,0,0,0,0,419,419,400,95.47%,52,186,233,0,0,0,0,.,0,0,0,0
CT-502,622,602,564,90.68%,337,285,0,69,206,416,0,337,317,317,94.07%,80,32,24,81,256,0,285,285,247,86.67%,45,125,160,0,0,0,0,.,0,0,0,0,6,6,0,0,0,0,6,0,6,6,0,0,0,0,6,0,0,0,0,.,0,0,0,0,842,842,655,77.79%,85,250,592,0,0,0,0,.,0,0,0,0
CT-503,401,376,372,92.77%,233,168,0,62,227,174,0,233,217,213,91.42%,0,9,39,149,84,0,168,159,159,94.64%,23,78,90,0,0,0,0,.,0,0,0,0,11,11,11,100.00%,2,11,0,0,11,11,11,100.00%,2,11,0,0,0,0,0,.,0,0,0,0,739,739,739,100.00%,107,294,445,0,0,0,0,.,0,0,0,0
CT-505,1815,1578,1472,81.10%,1194,621,0,267,799,1012,4,1194,1023,993,83.17%,234,158,159,501,689,4,621,555,479,77.13%,108,298,323,0,0,0,0,.,0,0,0,0,210,210,116,55.24%,52,158,52,0,210,210,116,55.24%,52,158,52,0,0,0,0,.,0,0,0,0,3278,3209,2488,75.90%,457,1287,1991,0,0,0,0,.,0,0,0,0
CT-506,156,141,117,75.00%,146,10,0,12,71,85,0,146,131,117,80.14%,1,14,11,61,85,0,10,10,0,0.00%,1,10,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,211,211,210,99.53%,21,56,155,0,0,0,0,.,0,0,0,0
CT-508,246,231,218,88.62%,157,89,0,43,99,133,14,157,142,142,90.45%,16,16,15,36,107,14,89,89,76,85.39%,28,63,26,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,163,163,163,100.00%,7,17,146,0,0,0,0,.,0,0,0,0
CT-512,171,156,156,91.23%,171,0,0,22,93,78,0,171,156,156,91.23%,0,0,22,93,78,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,20,20,17,85.00%,4,12,8,0,20,20,17,85.00%,4,12,8,0,0,0,0,.,0,0,0,0,472,472,270,57.20%,61,209,263,0,0,0,0,.,0,0,0,0
DC-500,7281,7096,6625,90.99%,5157,2124,0,1349,4084,3183,14,5157,5015,4923,95.46%,840,0,915,2936,2211,10,2124,2081,1702,80.13%,434,1148,972,4,0,0,0,.,0,0,0,0,2326,2326,2326,100.00%,682,2261,65,0,2326,2326,2326,100.00%,682,2261,65,0,0,0,0,.,0,0,0,0,6414,6380,3121,48.66%,871,2777,3637,0,0,0,0,.,0,0,0,0
