"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/15/2023","AQS","160010010","1","0.037","ppm","34","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/16/2023","AQS","160010010","1","0.035","ppm","32","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/17/2023","AQS","160010010","1","0.036","ppm","33","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/18/2023","AQS","160010010","1","0.027","ppm","25","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/19/2023","AQS","160010010","1","0.035","ppm","32","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/20/2023","AQS","160010010","1","0.035","ppm","32","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/21/2023","AQS","160010010","1","0.04","ppm","37","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/22/2023","AQS","160010010","1","0.035","ppm","32","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/23/2023","AQS","160010010","1","0.036","ppm","33","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/24/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/25/2023","AQS","160010010","1","0.04","ppm","37","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/26/2023","AQS","160010010","1","0.026","ppm","24","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/27/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"02/28/2023","AQS","160010010","1","0.038","ppm","35","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/01/2023","AQS","160010010","1","0.04","ppm","37","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/02/2023","AQS","160010010","1","0.037","ppm","34","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/03/2023","AQS","160010010","1","0.042","ppm","39","Meridian - St. Luke's","17","100.0000","44201","Ozone","087","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
